ObjectType;Name;AdviseType;AlarmVerify;AllowRead;AllowWrite;DeviceHigh;DeviceLow;DisableIOServerPool;DocString;DriverLocation;DriverName;EnableDeadband;EnableDriverEvent;EnableReadGrouping;EnableScaling;EU;EUHigh;EULow;IsAlarmArea;N1;N2;N3;N4;P1;P2;P3;P4;ParamDevice;ParamItem;PathContainer;PathName;PathVolume;PercentDeadband;ReadRetries;Scan;ShareMaximum;ShareServer;UseBitFields;WriteFeedbackMode;WriteRetries;WriteSyncMode
IOTag;"Balcao2.TagFuncaoSensor2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;122;;;;;"";"";"Carel";"Carel.Balcao2.TagFuncaoSensor2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagOffsetSensorUm2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;11;;;;;"";"";"Carel";"Carel.Balcao2.TagOffsetSensorUm2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagTipoSensor2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;120;;;;;"";"";"Carel";"Carel.Balcao2.TagTipoSensor2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagSetAlarmeAlto2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;20;;;;;"";"";"Carel";"Carel.Balcao2.TagSetAlarmeAlto2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagSetPointTempInterna2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;4;;;;;"";"";"Carel";"Carel.Balcao2.TagSetPointTempInterna2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagStatusSaida2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;227;;;;;"";"";"Carel";"Carel.Balcao2.TagStatusSaida2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagDiaLigar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;206;;;;;"";"";"Carel";"Carel.Balcao2.TagDiaLigar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagHoraLigar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;207;;;;;"";"";"Carel";"Carel.Balcao2.TagHoraLigar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagMinutoLigar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;208;;;;;"";"";"Carel";"Carel.Balcao2.TagMinutoLigar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagDiaDesligar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;209;;;;;"";"";"Carel";"Carel.Balcao2.TagDiaDesligar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagHoraDesligar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;210;;;;;"";"";"Carel";"Carel.Balcao2.TagHoraDesligar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagMinutoDesligar2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;211;;;;;"";"";"Carel";"Carel.Balcao2.TagMinutoDesligar2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagAjustaAno2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;101;;;;;"";"";"Carel";"Carel.Balcao2.TagAjustaAno2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
